ParkName,State,partySize,RateType,Equipment
Valleyview,NS ,1,Full,ST
Porters Lake,NS ,5,Full,LT20ft
Ellenwood Lake,NS ,3,Full,Tents
Cape Chignecto,NB ,2,Full,ST
Dollar Lake,NS ,5,Full,Tents
Five Islands,ON ,5,Full,LT20ft
Rissers Beach,NS ,5,Full,ST
Amherst Shore,NS ,4,Senior,LT30ft
Mira River,NS ,2,Full,LT20ft
Amherst Shore,ON ,2,Senior,LT30ft
Smileys,NS ,4,Full,Tents
Ellenwood Lake,NS ,3,Senior,LT30ft
Ellenwood Lake,NS ,5,Full,ST
Five Islands,QC ,1,Senior,ST
Mira River,ON ,2,Full,LT20ft
Dollar Lake,NS ,2,Full,ST
Laurie,NS ,6,Full,Tents
Caribou Munroes,NS ,4,Full,LT20ft
Porters Lake,NS ,4,Full,LT30ft
Rissers Beach,ON ,1,Full,ST
Porters Lake,NS ,2,Full,ST
Mira River,NS ,2,Full,ST
Rissers Beach,NS ,3,Full,ST
Graves Island,NS ,4,Full,LT30ft
Mira River,NS ,4,Full,LT30ft
Five Islands,NS ,2,Full,ST
Mira River,QC ,2,Senior,ST
Graves Island,BC ,1,Full,ST
Whycocomagh,MB ,2,Full,ST
Amherst Shore,ON ,2,Full,ST
Mira River,NS ,2,Senior,ST
Cape Chignecto,NS ,2,Full,ST
Whycocomagh,ON ,2,Full,LT20ft
Smileys,NS ,6,Full,LT20ft
Caribou Munroes,NS ,4,Full,ST
Dollar Lake,NS ,2,Veteran,LT30ft
The Islands,QC ,3,Full,LT30ft
Caribou Munroes,ON ,2,Senior,ST
Caribou Munroes,NS ,2,Full,ST
Dollar Lake,NS ,5,Full,LT20ft
Rissers Beach,NS ,2,Full,LT30ft
Thomas Raddall,NS ,4,Full,Tents
Whycocomagh,QC ,2,Full,LT30ft
Five Islands,NS ,4,Full,Tents
Dollar Lake,NS ,5,Full,ST
Porters Lake,NS ,2,Senior,LT40ft
Rissers Beach,NS ,2,Full,LT30ft
Rissers Beach,NS ,2,Full,ST
Mira River,QC ,2,Full,ST
Smileys,NS ,4,Senior,LT30ft
Graves Island,NS ,2,Full,LT40ft
Battery,NS ,3,Full,ST
Battery,NS ,3,Full,ST
Caribou Munroes,NS ,2,Full,ST
Battery,QC ,4,Full,ST
Five Islands,ON ,3,Full,ST
Thomas Raddall,NS ,4,Full,ST
Smileys,NS ,4,Full,Tents
Valleyview,NS ,4,Full,LT30ft
Blomidon,ON ,2,Full,ST
Smileys,NS ,4,Full,ST
Amherst Shore,NS ,3,Full,LT20ft
Porters Lake,NS ,5,Full,ST
Rissers Beach,NS ,5,Veteran,ST
Dollar Lake,NS ,6,Full,Tents
Blomidon,NS ,3,Full,LT40ft
Blomidon,NS ,4,Full,Tents
Rissers Beach,NS ,2,Veteran,LT20ft
Thomas Raddall,NS ,2,Full,ST
Mira River,NS ,4,Full,LT30ft
Whycocomagh,ON ,4,Full,Tents
Five Islands,ON ,2,Full,ST
The Islands,NS ,4,Full,Tents
Ellenwood Lake,NS ,2,Full,ST
Caribou Munroes,NS ,2,Senior,LT30ft
Blomidon,NS ,2,Full,LT20ft
Rissers Beach,NS ,1,Full,LT30ft
Battery,NS ,2,Full,Tents
Cape Chignecto,NB ,1,Full,ST
Graves Island,ON ,2,Full,LT20ft
Valleyview,NS ,1,Senior,LT20ft
Thomas Raddall,ON ,1,Full,ST
Graves Island,NS ,2,Full,LT20ft
Caribou Munroes,NS ,5,Full,LT30ft
Laurie,QC ,2,Full,ST
Thomas Raddall,NS ,1,Senior,LT20ft
Graves Island,BC ,1,Full,LT20ft
Porters Lake,QC ,3,Full,LT30ft
Valleyview,NS ,3,Full,ST
Porters Lake,NS ,6,Full,ST
Thomas Raddall,NS ,5,Full,Tents
Whycocomagh,ON ,2,Full,ST
Whycocomagh,NS ,2,Full,LT40ft
Caribou Munroes,QC ,5,Full,LT30ft
Porters Lake,QC ,2,Full,ST
Blomidon,NS ,5,Full,LT30ft
Porters Lake,QC ,2,Full,ST
Thomas Raddall,NS ,2,Full,LT20ft
The Islands,QC ,2,Full,ST
Graves Island,NS ,4,Full,ST
Five Islands,NS ,2,Full,ST
Five Islands,ON ,2,Full,ST
Ellenwood Lake,NS ,2,Full,ST
Graves Island,NS ,2,Full,LT30ft
Five Islands,NS ,5,Full,Tents
Thomas Raddall,NS ,3,Full,LT40ft
Amherst Shore,NS ,2,Full,LT30ft
Graves Island,NS ,6,Full,Tents
Porters Lake,NS ,2,Full,ST
Blomidon,NS ,2,Full,ST
Mira River,NS ,3,Full,LT20ft
Graves Island,NS ,4,Full,LT30ft
The Islands,NS ,2,Senior,LT40ft
Porters Lake,NS ,2,Full,ST
Blomidon,NS ,6,Full,ST
Five Islands,ON ,2,Full,ST
Mira River,QC ,3,Full,ST
Blomidon,NB ,6,Full,Tents
The Islands,ON ,5,Full,LT20ft
Rissers Beach,NS ,2,Senior,LT20ft
Graves Island,ON ,2,Full,ST
Caribou Munroes,NS ,1,Full,ST
Rissers Beach,NS ,4,Full,ST
Valleyview,NS ,1,Senior,ST
Rissers Beach,NS ,4,Full,LT40ft
Thomas Raddall,NB ,2,Full,ST
Caribou Munroes,NS ,2,Senior,LT20ft
Ellenwood Lake,NS ,5,Full,Tents
Amherst Shore,QC ,2,Full,LT30ft
Cape Chignecto,NS ,2,Full,ST
Rissers Beach,NS ,4,Full,LT20ft
Porters Lake,ON ,4,Full,Tents
Rissers Beach,NS ,4,Full,LT30ft
Battery,ON ,4,Full,LT20ft
Valleyview,BC ,2,Full,ST
Graves Island,NS ,2,Senior,LT30ft
Mira River,NS ,2,Full,LT20ft
Rissers Beach,NS ,4,Full,LT20ft
Thomas Raddall,NS ,2,Full,ST
Mira River,NS ,4,Full,LT40ft
Laurie,PE ,1,Full,ST
Smileys,NS ,2,Full,LT20ft
Thomas Raddall,NS ,4,Full,LT20ft
Whycocomagh,NS ,4,Full,Tents
Porters Lake,NS ,2,Full,LT20ft
Cape Chignecto,NS ,4,Full,ST
Five Islands,NS ,2,Full,ST
Five Islands,NS ,5,Senior,ST
Thomas Raddall,NB ,6,Full,Tents
Rissers Beach,AB ,1,Full,LT30ft
Mira River,NS ,2,Full,ST
Smileys,ON ,1,Full,ST
Boylston,NS ,1,Full,ST
Amherst Shore,NS ,2,Senior,LT30ft
Rissers Beach,AB ,4,FULL,LT30ft
Thomas Raddall,NS ,1,Full,ST
Mira River,NS ,3,Full,LT40ft
Blomidon,NS ,4,Full,ST
Five Islands,NS ,5,Full,Tents
Five Islands,NS ,1,Senior,ST
Five Islands,NS ,5,Full,ST
Rissers Beach,ON ,2,Full,ST
Thomas Raddall,ON ,2,Full,ST
Rissers Beach,NS ,2,Veteran,ST
Caribou Munroes,NS ,4,Full,Tents
Smileys,NS ,2,Full,LT30ft
Graves Island,QC ,2,Full,ST
Dollar Lake,NS ,2,Full,ST
Dollar Lake,NS ,5,Full,ST
Caribou Munroes,NB ,2,Full,ST
Battery,AB ,2,Senior,ST
Graves Island,NB ,2,Full,LT30ft
Thomas Raddall,NS ,2,Full,LT20ft
Whycocomagh,NS ,3,Full,ST
Mira River,NS ,3,Full,LT40ft
Graves Island,NS ,4,Senior,Tents
Caribou Munroes,NS ,4,Full,LT20ft
Salsman,NS ,2,Senior,LT20ft
Mira River,NS ,2,Full,ST
Rissers Beach,ON ,4,Full,ST
Mira River,BC ,2,Senior,ST
Whycocomagh,NS ,2,Senior,ST
Laurie,NS ,3,Full,ST
Dollar Lake,NS ,6,Full,Tents
Caribou Munroes,NS ,4,Full,ST
Blomidon,ON ,2,Full,ST
Mira River,NS ,6,Full,Tents
Caribou Munroes,NS ,2,Full,LT30ft
Smileys,NS ,2,Full,LT20ft
Valleyview,NS ,1,Full,LT20ft
Caribou Munroes,NS ,2,Full,LT30ft
Graves Island,QC ,1,Full,ST
Five Islands,ON ,2,Full,ST
Blomidon,NS ,3,Full,LT20ft
Rissers Beach,NS ,2,Full,ST
Amherst Shore,NS ,2,Senior,LT20ft
The Islands,NB ,2,Full,LT30ft
Caribou Munroes,AB ,5,Full,LT20ft
Dollar Lake,NS ,4,Full,Tents
Thomas Raddall,NS ,2,Full,ST
Caribou Munroes,NS ,3,Full,Tents
Laurie,NS ,3,Full,LT30ft
Mira River,AB ,3,Full,ST
Graves Island,BC ,2,Full,LT30ft
Blomidon,NS ,2,Full,ST
Thomas Raddall,QC ,4,Full,ST
Amherst Shore,NS ,2,Full,LT20ft
Graves Island,NS ,1,Full,ST
Thomas Raddall,NS ,2,Full,LT30ft
Rissers Beach,NS ,4,Full,LT20ft
Mira River,NS ,2,Senior,LT20ft
Caribou Munroes,BC ,1,Full,ST
Dollar Lake,NS ,3,Full,ST
Graves Island,NS ,2,Full,LT20ft
Graves Island,NS ,1,Full,LT30ft
Five Islands,NS ,2,Full,LT20ft
Rissers Beach,NS ,2,Full,LT30ft
Blomidon,NS ,3,Full,LT20ft
Graves Island,NS ,4,Full,Tents
Caribou Munroes,NS ,2,Full,LT40ft
Five Islands,ON ,2,Full,ST
Mira River,NS ,2,Full,LT40ft
Dollar Lake,NS ,6,Full,Tents
Mira River,NS ,4,Full,ST
Mira River,NS ,6,Full,ST
Rissers Beach,QC ,2,Senior,LT20ft
Whycocomagh,AB ,3,Full,ST
Caribou Munroes,NS ,4,Full,LT30ft
Five Islands,QC ,3,Full,ST
Thomas Raddall,NS ,2,Full,ST
Caribou Munroes,NS ,2,Full,LT30ft
Amherst Shore,NS ,2,Senior,LT20ft
Graves Island,NS ,1,Full,ST
Smileys,NS ,2,Senior,LT30ft
Rissers Beach,NS ,4,Full,LT40ft
Porters Lake,NB ,2,Full,ST
Caribou Munroes,NS ,3,Full,ST
Mira River,NS ,2,Full,ST
Rissers Beach,BC ,2,Full,Greater than 40ft
Five Islands,NS ,2,Senior,ST
Mira River,NS ,4,Full,ST
Rissers Beach,NS ,2,Full,LT30ft
Blomidon,NS ,2,Senior,LT30ft
Graves Island,NS ,2,Senior,LT30ft
Porters Lake,NS ,3,Full,LT20ft
Mira River,NS ,2,Full,LT30ft
Mira River,NS ,2,Full,LT30ft
The Islands,NS ,5,Full,Tents
Amherst Shore,NS ,2,Full,LT20ft
Blomidon,NS ,2,Full,ST
Caribou Munroes,NS ,2,Full,Tents
Caribou Munroes,NS ,2,Senior,LT30ft
Porters Lake,NS ,2,Full,ST
Blomidon,ON ,2,Senior,ST
Cape Chignecto,NS ,2,Full,ST
Caribou Munroes,NS ,2,Full,ST
Smileys,NS ,2,Full,LT30ft
Mira River,NS ,2,Full,LT20ft
Graves Island,ON ,3,Full,LT20ft
Caribou Munroes,NS ,2,Full,LT30ft
Laurie,NS ,3,Full,ST
Battery,QC ,2,Senior,LT40ft
Laurie,NS ,4,Full,ST
Porters Lake,ON ,2,Full,ST
Five Islands,QC ,2,Full,ST
Mira River,NS ,2,Full,ST
Battery,BC ,2,Full,ST
Thomas Raddall,NS ,2,Full,ST
Caribou Munroes,NS ,2,Full,ST
Blomidon,QC ,1,Full,ST
Graves Island,ON ,2,Full,LT20ft
Ellenwood Lake,ON ,2,Full,ST
Dollar Lake,NS ,2,Senior,LT20ft
Dollar Lake,NS ,4,Full,LT30ft
Graves Island,NS ,2,Senior,LT30ft
Five Islands,NS ,2,Full,ST
Caribou Munroes,NS ,5,Full,LT30ft
Caribou Munroes,NB ,1,Senior,LT20ft
Graves Island,NS ,2,Full,LT30ft
Laurie,NS ,2,Senior,LT20ft
Rissers Beach,NS ,4,Full,LT20ft
Five Islands,ON ,2,Full,ST
Graves Island,NS ,2,Senior,LT30ft
Rissers Beach,NS ,6,Full,Tents
Mira River,NS ,2,Full,ST
Dollar Lake,ON ,3,Full,ST
Porters Lake,NS ,3,Full,Tents
Battery,NS ,1,Full,ST
